error,label
"* What went wrong:
Could not create service of type ScriptPluginFactory using BuildScopeServices.createScriptPluginFactory().
> Could not create service of type FileHasher using BuildSessionScopeServices.createFileSnapshotter().",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/.gradle/6.2.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/.gradle/6.2.2/gc.properties (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/invalid-resources/.gradle/6.2.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/invalid-resources/.gradle/6.2.2/gc.properties (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/multi-dex/.gradle/6.2.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/multi-dex/.gradle/6.2.2/gc.properties (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/patch-lib/.gradle/6.2.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/patch-lib/.gradle/6.2.2/gc.properties (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/patched-app/.gradle/6.2.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/patched-app/.gradle/6.2.2/gc.properties (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/patched-dex/.gradle/6.2.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle-samples/patched-dex/.gradle/6.2.2/gc.properties (Permission denied)",10.0
Error: Could not find or load main class org.gradle.wrapper.BaseDomain,7.0
"* What went wrong:
java.io.FileNotFoundException: /home/tako3/gradle-projects/star50-1-100/fxldemo-gradle/.gradle/2.5/taskArtifacts/cache.properties.lock (Permission denied)
> /home/tako3/gradle-projects/star50-1-100/fxldemo-gradle/.gradle/2.5/taskArtifacts/cache.properties.lock (Permission denied)",10.0
"* What went wrong:
A problem occurred evaluating project ':app'.
> Failed to apply plugin [id 'com.android.application']
   > Gradle version 2.10 is required. Current version is 2.8. If using the gradle wrapper, try editing the distributionUrl in /home/tako3/gradle-projects/star50-1-100/gradle-config/gradle/wrapper/gradle-wrapper.properties to gradle-2.10-all.zip",13.0
Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain,7.0
"* What went wrong:
Could not create service of type CachingFileSnapshotter using TaskExecutionServices.createFileSnapshotter().
> java.io.FileNotFoundException: /home/tako3/gradle-projects/star50-1-100/gradle-golang-plugin/samples/simple-project/.gradle/3.2.1/taskArtifacts/taskArtifacts.lock (Permission denied)",10.0
"Exception in thread ""main"" java.io.FileNotFoundException: http://gradle.artifactoryonline.com/gradle/distributions/gradle-0.9.1-bin.zip
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream0(HttpURLConnection.java:1896)
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream(HttpURLConnection.java:1498)
        at org.gradle.wrapper.Download.downloadInternal(Download.java:49)
        at org.gradle.wrapper.Download.download(Download.java:37)
        at org.gradle.wrapper.Install.createDist(Install.java:53)
        at org.gradle.wrapper.Wrapper.execute(Wrapper.java:48)
        at org.gradle.wrapper.GradleWrapperMain.main(GradleWrapperMain.java:42)",3.0
Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain,7.0
"* What went wrong:
A problem occurred evaluating project ':app'.
> Could not find property 'RELEASE_STORE_FILE' on SigningConfig_Decorated{name=release, storeFile=null, storePassword=null, keyAlias=null, keyPassword=null, storeType=null}.",0.0
"* What went wrong:
java.io.FileNotFoundException: /home/tako3/gradle-projects/star50-1-100/hello-gradle/.gradle/2.7/taskArtifacts/cache.properties.lock (Permission denied)
> /home/tako3/gradle-projects/star50-1-100/hello-gradle/.gradle/2.7/taskArtifacts/cache.properties.lock (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/heroku-gradle/.gradle/6.5.1/gc.properties
> /home/tako3/gradle-projects/star50-1-100/heroku-gradle/.gradle/6.5.1/gc.properties (Permission denied)",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/jhipster-sample-app-gradle/.gradle/6.5/gc.properties
> /home/tako3/gradle-projects/star50-1-100/jhipster-sample-app-gradle/.gradle/6.5/gc.properties (Permission denied)",10.0
"Exception in thread ""main"" java.lang.RuntimeException: java.io.IOException: Server returned HTTP response code: 403 for URL: http://services.gradle.org/distributions/gradle-2.13-bin.zip
        at org.gradle.wrapper.ExclusiveFileAccessManager.access(ExclusiveFileAccessManager.java:78)
        at org.gradle.wrapper.Install.createDist(Install.java:47)
        at org.gradle.wrapper.WrapperExecutor.execute(WrapperExecutor.java:129)
        at org.gradle.wrapper.GradleWrapperMain.main(GradleWrapperMain.java:61)
Caused by: java.io.IOException: Server returned HTTP response code: 403 for URL: http://services.gradle.org/distributions/gradle-2.13-bin.zip
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream0(HttpURLConnection.java:1900)
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream(HttpURLConnection.java:1498)
        at org.gradle.wrapper.Download.downloadInternal(Download.java:59)
        at org.gradle.wrapper.Download.download(Download.java:45)
        at org.gradle.wrapper.Install$1.call(Install.java:60)
        at org.gradle.wrapper.Install$1.call(Install.java:47)
        at org.gradle.wrapper.ExclusiveFileAccessManager.access(ExclusiveFileAccessManager.java:65)
        ... 3 more",3.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/ossindex-gradle-plugin/.gradle/5.2/gc.properties
> /home/tako3/gradle-projects/star50-1-100/ossindex-gradle-plugin/.gradle/5.2/gc.properties (Permission denied)",10.0
Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain,7.0
Error: Could not find or load main class org.gradle.wrapper.GradleWrapperMain,7.0
"* What went wrong:
Could not update time stamp for /home/tako3/gradle-projects/star50-1-100/rosjava_bootstrap/.gradle/4.10.2/gc.properties",10.0
"* What went wrong:
A problem occurred evaluating root project 'spring4-mvc-gradle-annotation-hello-world'.
> No such property: port for class: org.akhikhl.gretty.GrettyExtension_Decorated
  Possible solutions: host",0.0
"Exception in thread ""main"" java.io.IOException: Server returned HTTP response code: 403 for URL: http://services.gradle.org/distributions/gradle-1.7-bin.zip
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream0(HttpURLConnection.java:1900)
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream(HttpURLConnection.java:1498)
        at org.gradle.wrapper.Download.downloadInternal(Download.java:63)
        at org.gradle.wrapper.Download.download(Download.java:49)
        at org.gradle.wrapper.Install.createDist(Install.java:51)
        at org.gradle.wrapper.WrapperExecutor.execute(WrapperExecutor.java:129)
        at org.gradle.wrapper.GradleWrapperMain.main(GradleWrapperMain.java:48)",3.0
"* What went wrong:
Could not create service of type ScriptPluginFactory using BuildScopeServices.createScriptPluginFactory().
> Could not create service of type FileHasher using BuildSessionScopeServices.createFileSnapshotter().",10.0
"* What went wrong:
Could not update timestamp for /home/tako3/gradle-projects/star50-1-100/gradle-and-eclipse-rcp/.gradle/6.3/gc.properties
> /home/tako3/gradle-projects/star50-1-100/gradle-and-eclipse-rcp/.gradle/6.3/gc.properties (Permission denied)",10.0
"* Where:
Build file '/home/tako/mingu/gradle-project/star50-1-100/006791/chapter08/book-crud/build.gradle' line: 90

* What went wrong:
A problem occurred evaluating root project 'book-crud'.
> Could not find property 'env' on task ':copyEnvironmentResource'.",12.0
"* What went wrong:
Could not resolve all dependencies for configuration ':checkstyle'.
> Could not resolve com.puppycrawl.tools:checkstyle:5.7.
  Required by:
      :gradle-jenkins:unspecified
   > Could not HEAD 'http://repo1.maven.org/maven2/com/puppycrawl/tools/checkstyle/5.7/checkstyle-5.7.pom'. Received status code 501 from server: HTTPS Required",1.0
"* What went wrong:
Task 'build' not found in root project 'default-task-project'.

* Try:
Run gradlew tasks to get a list of available tasks. Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output.",2.0
"* What went wrong:
Could not resolve all dependencies for configuration ':testCompile'.
> Could not resolve junit:junit:3.8.1.
  Required by:
      com.example:my-maven-project:1.0-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/junit/junit/3.8.1/junit-3.8.1.pom'. Received status code 501 from server: HTTPS Required",1.0
"* What went wrong:
Could not resolve all dependencies for configuration ':simple-jar:compile'.
> Could not resolve dom4j:dom4j:1.6.1.
  Required by:
      com.example:simple-jar:0.1-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/dom4j/dom4j/1.6.1/dom4j-1.6.1.pom'. Received status code 501 from server: HTTPS Required
> Could not resolve jaxen:jaxen:1.1.1.
  Required by:
      com.example:simple-jar:0.1-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/jaxen/jaxen/1.1.1/jaxen-1.1.1.pom'. Received status code 501 from server: HTTPS Required
> Could not resolve velocity:velocity:1.5.
  Required by:
      com.example:simple-jar:0.1-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/velocity/velocity/1.5/velocity-1.5.pom'. Received status code 501 from server: HTTPS Required",1.0
"* What went wrong:
Could not resolve all dependencies for configuration ':simple-jar:compile'.
> Could not resolve dom4j:dom4j:1.6.1.
  Required by:
      com.example:simple-jar:0.1-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/dom4j/dom4j/1.6.1/dom4j-1.6.1.pom'. Received status code 501 from server: HTTPS Required
> Could not resolve jaxen:jaxen:1.1.1.
  Required by:
      com.example:simple-jar:0.1-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/jaxen/jaxen/1.1.1/jaxen-1.1.1.pom'. Received status code 501 from server: HTTPS Required
> Could not resolve velocity:velocity:1.5.
  Required by:
      com.example:simple-jar:0.1-SNAPSHOT
   > Could not HEAD 'http://repo.maven.apache.org/maven2/velocity/velocity/1.5/velocity-1.5.pom'. Received status code 501 from server: HTTPS Required",1.0
"* What went wrong:
A problem occurred configuring root project 'todo-app-java-on-azure'.
> Could not resolve all dependencies for configuration ':classpath'.
   > Not a supported repository protocol 'C': valid protocols are [file, http, https, gcs, s3, sftp]",5.0
"* What went wrong:
A problem occurred configuring project ':patched-app'.
> Could not resolve all artifacts for configuration ':patched-app:classpath'.
   > Could not find com.github.lanchon.dexpatcher:dexpatcher-gradle:2.1.3.
     Searched in the following locations:
       - https://dl.google.com/dl/android/maven2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://jcenter.bintray.com/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://plugins.gradle.org/m2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle-2.1.3.jar
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle.jar
     Required by:
         project :patched-app",5.0
"* What went wrong:
A problem occurred configuring root project 'invalid-resources'.
> Could not resolve all artifacts for configuration ':classpath'.
   > Could not find com.github.lanchon.dexpatcher:dexpatcher-gradle:2.1.3.
     Searched in the following locations:
       - https://dl.google.com/dl/android/maven2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://jcenter.bintray.com/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://plugins.gradle.org/m2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle-2.1.3.jar
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle.jar
     Required by:
         project :",5.0
"* What went wrong:
A problem occurred configuring root project 'multi-dex'.
> Could not resolve all artifacts for configuration ':classpath'.
   > Could not find com.github.lanchon.dexpatcher:dexpatcher-gradle:2.1.3.
     Searched in the following locations:
       - https://dl.google.com/dl/android/maven2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://jcenter.bintray.com/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://plugins.gradle.org/m2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle-2.1.3.jar
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle.jar
     Required by:
         project :",5.0
"* What went wrong:
A problem occurred configuring root project 'patch-lib'.
> Could not resolve all artifacts for configuration ':classpath'.
   > Could not find com.github.lanchon.dexpatcher:dexpatcher-gradle:2.1.3.
     Searched in the following locations:
       - https://dl.google.com/dl/android/maven2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://jcenter.bintray.com/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://plugins.gradle.org/m2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle-2.1.3.jar
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle.jar
     Required by:
         project :",5.0
"* What went wrong:
A problem occurred configuring root project 'patched-app'.
> Could not resolve all artifacts for configuration ':classpath'.
   > Could not find com.github.lanchon.dexpatcher:dexpatcher-gradle:2.1.3.
     Searched in the following locations:
       - https://dl.google.com/dl/android/maven2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://jcenter.bintray.com/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - https://plugins.gradle.org/m2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle-2.1.3.jar
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle.jar
     Required by:
         project :",5.0
"* What went wrong:
A problem occurred configuring root project 'patched-dex'.
> Could not resolve all artifacts for configuration ':classpath'.
   > Could not find com.github.lanchon.dexpatcher:dexpatcher-gradle:2.1.3.
     Searched in the following locations:
       - https://plugins.gradle.org/m2/com/github/lanchon/dexpatcher/dexpatcher-gradle/2.1.3/dexpatcher-gradle-2.1.3.pom
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle-2.1.3.jar
       - file:/home/tako3/gradle-projects/star50-1-100/dexpatcher-gradle/build/libs/dexpatcher-gradle.jar
     Required by:
         project :",5.0
"* What went wrong:
Execution failed for task ':baseGetTools'.
> java.io.IOException: Got unexpected exit code 2 while executing [/root/.go/sdk/go1.8/bin/go, build, -o, /home/tako3/gradle-projects/star50-1-100/gradle-golang-plugin/samples/simple-project/build/tools/github.com/golang/lint/golint, github.com/golang/lint/golint].",0.0
"Exception in thread ""main"" javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed
        at sun.security.ssl.Alerts.getSSLException(Alerts.java:198)
        at sun.security.ssl.SSLSocketImpl.fatal(SSLSocketImpl.java:1967)
        at sun.security.ssl.Handshaker.fatalSE(Handshaker.java:331)
        at sun.security.ssl.Handshaker.fatalSE(Handshaker.java:325)
        at sun.security.ssl.ClientHandshaker.serverCertificate(ClientHandshaker.java:1688)
        at sun.security.ssl.ClientHandshaker.processMessage(ClientHandshaker.java:226)
        at sun.security.ssl.Handshaker.processLoop(Handshaker.java:1082)
        at sun.security.ssl.Handshaker.process_record(Handshaker.java:1010)
        at sun.security.ssl.SSLSocketImpl.readRecord(SSLSocketImpl.java:1079)
        at sun.security.ssl.SSLSocketImpl.performInitialHandshake(SSLSocketImpl.java:1388)
        at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:1416)
        at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:1400)
        at sun.net.www.protocol.https.HttpsClient.afterConnect(HttpsClient.java:559)
        at sun.net.www.protocol.https.AbstractDelegateHttpsURLConnection.connect(AbstractDelegateHttpsURLConnection.java:185)
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream0(HttpURLConnection.java:1570)
        at sun.net.www.protocol.http.HttpURLConnection.getInputStream(HttpURLConnection.java:1498)
        at sun.net.www.protocol.https.HttpsURLConnectionImpl.getInputStream(HttpsURLConnectionImpl.java:268)
        at org.gradle.wrapper.Download.downloadInternal(Download.java:49)
        at org.gradle.wrapper.Download.download(Download.java:37)
        at org.gradle.wrapper.Install.createDist(Install.java:53)
        at org.gradle.wrapper.Wrapper.execute(Wrapper.java:48)
        at org.gradle.wrapper.GradleWrapperMain.main(GradleWrapperMain.java:42)
Caused by: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: validity check failed
        at sun.security.validator.PKIXValidator.doValidate(PKIXValidator.java:380)
        at sun.security.validator.PKIXValidator.engineValidate(PKIXValidator.java:273)
        at sun.security.validator.Validator.validate(Validator.java:262)
        at sun.security.ssl.X509TrustManagerImpl.validate(X509TrustManagerImpl.java:330)
        at sun.security.ssl.X509TrustManagerImpl.checkTrusted(X509TrustManagerImpl.java:237)
        at sun.security.ssl.X509TrustManagerImpl.checkServerTrusted(X509TrustManagerImpl.java:132)
        at sun.security.ssl.ClientHandshaker.serverCertificate(ClientHandshaker.java:1670)
        ... 17 more
Caused by: java.security.cert.CertPathValidatorException: validity check failed
        at sun.security.provider.certpath.PKIXMasterCertPathValidator.validate(PKIXMasterCertPathValidator.java:135)
        at sun.security.provider.certpath.PKIXCertPathValidator.validate(PKIXCertPathValidator.java:233)
        at sun.security.provider.certpath.PKIXCertPathValidator.validate(PKIXCertPathValidator.java:141)
        at sun.security.provider.certpath.PKIXCertPathValidator.engineValidate(PKIXCertPathValidator.java:80)
        at java.security.cert.CertPathValidator.validate(CertPathValidator.java:292)
        at sun.security.validator.PKIXValidator.doValidate(PKIXValidator.java:375)
        ... 23 more
Caused by: java.security.cert.CertificateExpiredException: NotAfter: Thu Sep 12 08:59:59 KST 2019
        at sun.security.x509.CertificateValidity.valid(CertificateValidity.java:274)
        at sun.security.x509.X509CertImpl.checkValidity(X509CertImpl.java:677)
        at sun.security.provider.certpath.BasicChecker.verifyValidity(BasicChecker.java:190)
        at sun.security.provider.certpath.BasicChecker.check(BasicChecker.java:144)
        at sun.security.provider.certpath.PKIXMasterCertPathValidator.validate(PKIXMasterCertPathValidator.java:125)
        ... 28 more",0.0
[ERROR] /home/tako3/gradle-projects/star50-1-100/jhipster-sample-app-gradle/src/main/java/io/github/jhipster/sample/security/PersistentTokenRememberMeServices.java:46:17: http:// URLs are not allowed but got 'http://jaspan.com/improved_persistent_login_cookie_best_practice'. Use https:// instead. [NoHttp],0.0
